exp,date,water_lab,trt_lab,stage,bioreactor,flow_rate_ml_min,hours_elapsed,duplicate_key_count
BR16-2,2016-10-11,Stearns Wharf,surface,5,5_6_8_10,4,7,1
BR16-3,2016-10-11,Goleta Pier,diatom lysate,0,NA,NA,0,1
BR16-3,2016-10-11,Goleta Pier,diatom lysate,1,5,4,7,1
BR16-3,2016-10-11,Goleta Pier,diatom lysate,2,5_6,4,7,1
BR16-3,2016-10-11,Goleta Pier,diatom lysate,3,5_6_8,4,7,1
BR16-3,2016-10-11,Goleta Pier,diatom lysate,4,5_6_8_9,4,7,1
BR16-3,2016-10-11,Goleta Pier,diatom lysate,5,5_6_8_9_10,4,7,1
BR16-3,2016-10-11,Goleta Pier,surface,0,NA,NA,0,1
BR16-3,2016-10-11,Goleta Pier,surface,1,5,4,7,1
BR16-3,2016-10-11,Goleta Pier,surface,2,5_6,4,7,1
BR16-3,2016-10-11,Goleta Pier,surface,3,5_6_8,4,7,1
BR16-3,2016-10-11,Goleta Pier,surface,4,5_6_8_9,4,7,1
BR16-3,2016-10-11,Goleta Pier,surface,5,5_6_8_9_10,4,7,1
BR17-1,2017-05-12,UCSB intake,ambient,0,NA,NA,0,1
BR17-1,2017-05-12,UCSB intake,ambient,1,5,4,7,1
BR17-1,2017-05-12,UCSB intake,ambient,2,5_6,4,7,1
BR17-1,2017-05-12,UCSB intake,ambient,3,5_6_8,4,7,1
BR17-2,2017-05-17,Goleta Pier,surface,0,NA,NA,0,1
BR17-2,2017-05-17,Goleta Pier,surface,1,5,4,7,1
BR17-2,2017-05-17,Goleta Pier,surface,2,5_6,4,7,1
BR17-2,2017-05-17,Goleta Pier,surface,3,5_6_8,4,7,1
BR17-2,2017-05-17,Goleta Pier,surface,4,5_6_8_9,4,7,1
BR17-2,2017-05-17,Goleta Pier,surface,5,5_6_8_9_10,4,7,1
