ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_832,23.478260496082864,-10.227491213139304,3.0232192005605603,-3.3829803711364823,7.17037569745202e-4,0.009802669435519907,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_769,25.017402265588792,-10.21877766998217,3.023101376985608,-3.3802299015759467,7.242522091535327e-4,0.009802669435519907,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_564,37.316243772433324,-8.661465273949512,2.5502937788870845,-3.3962617740961845,6.831299318498485e-4,0.009802669435519907,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_342,57.61389485516748,-8.380040751321088,2.4766392465900524,-3.3836339962952224,7.15332920924945e-4,0.009802669435519907,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,NA,NA,Enriched at bottom,TRUE
ASV_37,261.72937630055816,8.055608998982075,2.392744620517124,3.366681479463982,7.607850556068407e-4,0.010063111417345028,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Bremerella,NA,Enriched at top,TRUE
ASV_751,25.121851541219183,-10.10323227175204,3.0231726270917822,-3.3419303222095857,8.319794287453354e-4,0.010760267278439671,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_184,104.65171977887988,-8.87074331091391,2.660145424998917,-3.3346835956976006,8.53965064027828e-4,0.01080451450574339,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Incertae sedis (Dadabacteria),CSP1-2,NA,Enriched at bottom,TRUE
ASV_572,36.48685260021582,-10.10906006301624,3.0474045596978723,-3.317268798737533,9.090211540020906e-4,0.011256389609132271,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_310,67.01718439351986,-9.376751912080397,2.83497837801177,-3.3075214911009345,9.4125489339872e-4,0.01141271558245948,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_778,24.54853506901839,-9.903323193851747,3.022976468460709,-3.276017295263463,0.0010528211335082687,0.012014547052976714,Bacteria,Gemmatimonadota,BD2-11 terrestrial group,Incertae Sedis_95,Incertae sedis (Gemmatimonadota),Incertae Sedis_571,NA,Enriched at bottom,TRUE
ASV_200,83.57233266281894,-8.992409931898376,2.737107857841113,-3.2853692287417258,0.0010184880825657228,0.012014547052976714,Bacteria,Planctomycetota,OM190,Incertae Sedis_134,Incertae sedis (Planctomycetota),Incertae Sedis_714,NA,Enriched at bottom,TRUE
