exp,date,water_lab,trt_lab,beads,bioreactor,flow_rate_ml_min,effluent_doc,effluent_sd,effluent_se,effluent_n_vials,influent_doc,influent_sd,influent_se,influent_n_vials,removal_doc,pct_removal,flow_rate_factor
BR15-6,2015-04-14,Santa Barbara Channel,surface,homogeneous,1,4,54.263229813664594,0.20085931755443823,0.1420289855072454,2,63.74946169772256,0.5130209607766298,0.2565104803883149,4,9.486231884057965,14.880489389915677,4
BR15-6,2015-04-14,Santa Barbara Channel,surface,homogeneous,3,4,54.32989648033126,0.6845613475835045,0.4840579710144972,2,63.74946169772256,0.5130209607766298,0.2565104803883149,4,9.419565217391302,14.77591334348132,4
BR15-6,2015-04-14,Santa Barbara Channel,surface,mixed,5,4,53.155983436853,0.8813214953919289,0.6231884057971016,2,63.74946169772256,0.5130209607766298,0.2565104803883149,4,10.59347826086956,16.61736111765162,4
BR15-6,2015-04-14,Santa Barbara Channel,surface,mixed,7,4,60.37627329192547,0.7911397609797367,0.5594202898550762,2,63.74946169772256,0.5130209607766298,0.2565104803883149,4,3.3731884057970873,5.2913206103473565,4
BR15-6,2015-04-14,Santa Barbara Channel,75 m,homogeneous,1,4,48.35394670688788,0.8239506367672285,0.582621082621081,2,51.48832467459918,0.8234669701556717,0.41173348507783586,4,3.134377967711295,6.087550891430698,4
BR15-6,2015-04-14,Santa Barbara Channel,75 m,homogeneous,3,4,49.45793531087649,0.21354221881987165,0.15099715099715283,2,51.48832467459918,0.8234669701556717,0.41173348507783586,4,2.0303893637226835,3.943397608204446,4
BR15-6,2015-04-14,Santa Barbara Channel,75 m,mixed,5,4,48.52203787497904,0.67890309190845,0.4800569800569789,2,51.48832467459918,0.8234669701556717,0.41173348507783586,4,2.9662867996201356,5.761086262500786,4
BR15-6,2015-04-14,Santa Barbara Channel,75 m,mixed,7,4,50.63884699178816,0.8078342428940393,0.5712250712250757,2,51.48832467459918,0.8234669701556717,0.41173348507783586,4,0.8494776828110204,1.6498452575018328,4
BR15-6,2015-04-14,Santa Barbara Channel,200 m,homogeneous,1,4,46.62887548181665,0.294124188185853,0.20797720797720487,2,48.35608345902463,0.8544994222908384,0.4272497111454192,4,1.727207977207982,3.5718525026361196,4
BR15-6,2015-04-14,Santa Barbara Channel,200 m,homogeneous,3,4,44.20152505446623,0.9710127308601625,0.6866096866096888,2,48.35608345902463,0.8544994222908384,0.4272497111454192,4,4.154558404558401,8.591594081598519,4
BR15-6,2015-04-14,Santa Barbara Channel,200 m,mixed,5,4,46.08471593765711,2.171684074413386,1.535612535612536,2,48.35608345902463,0.8544994222908384,0.4272497111454192,4,2.271367521367523,4.697170157074871,4
BR15-6,2015-04-14,Santa Barbara Channel,200 m,mixed,7,4,45.3753142282554,0.9146053523039626,0.6467236467236432,2,48.35608345902463,0.8544994222908384,0.4272497111454192,4,2.9807692307692335,6.164207308673044,4
BR15-7,2015-07-17,UCSB intake,ambient,homogeneous,1,4,56.73004493464052,0.8544206939337466,0,1,61.36835511982571,0.7905846650766272,0,1,4.6383101851851904,7.558146500958984,4
BR15-7,2015-07-17,UCSB intake,ambient,homogeneous,2,4,58.69185049019608,3.235995616680111,0,1,61.36835511982571,0.7905846650766272,0,1,2.676504629629626,4.361375866117931,4
BR15-7,2015-07-17,UCSB intake,ambient,homogeneous,3,4,59.157128267973846,0.7905846650766222,0,1,61.36835511982571,0.7905846650766272,0,1,2.211226851851862,3.6032037155538834,4
