ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_183,71.11527905329592,-1.035377332054792,2.2632053390367566,-0.45748271895446274,0.64732412057227,0.9304795362197834,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_360,51.40768547366599,-1.3635530643536038,3.042033963007935,-0.4482372915407345,0.6539819519972756,0.9328573709424707,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_259,44.19946198714535,1.3624734169974784,3.0434084134808312,0.447680111207677,0.6543840774386684,0.9328573709424707,Archaea,Thermoproteota,Nitrososphaeria_2,Nitrosopumilales_2,Nitrosopumilaceae_2,NA,NA,Not significant,FALSE
ASV_495,28.373151234882666,1.267883566087951,2.8529948604885957,0.4444044339676157,0.6567502083004532,0.9328573709424707,Bacteria,Planctomycetota,Planctomycetes,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_130,30.66737749708901,-1.1392395716452974,2.527513280602724,-0.45073534544341876,0.6521803046227448,0.9328573709424707,Bacteria,Thermodesulfobacteriota,Desulfuromonadia_2,PB19_2,Incertae sedis (Thermodesulfobacteriota),Incertae Sedis_1017,NA,Not significant,FALSE
ASV_375,47.61777200246195,-1.0856216397633074,2.468403539280177,-0.43980719622525366,0.6600767551882515,0.9328573709424707,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_245,67.36107816842761,-0.8401528793872027,1.8947831046342494,-0.44340319339578327,0.6574741264970358,0.9328573709424707,Bacteria,Pseudomonadota,Gammaproteobacteria_2,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_101,164.40613680586824,0.7179289840034696,1.6421572963835394,0.4371864897379425,0.6619761068715471,0.9328573709424707,Bacteria,Latescibacterota,Incertae Sedis_30,Incertae Sedis_102,Incertae sedis (Latescibacterota),Incertae Sedis_592,NA,Not significant,FALSE
ASV_135,124.22624848498187,0.7003433223677258,1.5993819909891689,0.437883711529467,0.6614705837801316,0.9328573709424707,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_655,27.389350992130844,1.282260633369475,2.9899114224449987,0.4288624150346591,0.6680233536854165,0.9348945683757607,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Bythopirellula,NA,Not significant,FALSE
ASV_460,25.976982621940177,1.2821229087685304,2.9916742996723773,0.4285636671441599,0.6682407911414372,0.9348945683757607,Bacteria,Actinomycetota,Acidimicrobiia_2,Microtrichales_2,Microtrichaceae_2,Sva0996 marine group_2,NA,Not significant,FALSE
ASV_113,149.18102742067785,-0.9436033878454044,2.20008975465565,-0.4288931330408807,0.6680009978008197,0.9348945683757607,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,Incertae Sedis_743,NA,Not significant,FALSE
ASV_849,19.651228485287067,1.266499484874501,2.9916448917738845,0.42334552752467053,0.6720431818502344,0.9379595487693918,Bacteria,Pseudomonadota,Gammaproteobacteria_2,JTB23_2,Incertae sedis (Pseudomonadota),Incertae Sedis_919,NA,Not significant,FALSE
ASV_119,147.90301277505367,-0.9260325629599858,2.22357806537144,-0.4164605584941744,0.6770730228427357,0.9419413587636696,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,NA,Not significant,FALSE
ASV_198,77.10289157762263,0.7777993500957207,1.874160624873274,0.4150121071657417,0.6781330400721264,0.9419413587636696,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_319,43.310635620171965,1.1768520012553505,2.8584048341242543,0.41171634864517337,0.6805473406385327,0.9430441720276811,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_768,17.391774796401275,1.1304066337524372,2.8340212201885437,0.398870208063309,0.689988841929065,0.9538563087950493,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_217,52.51371008117076,1.197213390205279,3.0433360967575878,0.39338848952003913,0.6940325698365148,0.9544289799186907,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_358,49.901546065371015,-1.1946610531211657,3.099603242002473,-0.385423862297087,0.6999234060568452,0.9544289799186907,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Portibacter,NA,Not significant,FALSE
ASV_332,37.379095362787,1.157487836034864,3.0433087414087323,0.3803386164162459,0.7036940737343984,0.9544289799186907,Bacteria,Latescibacterota,Incertae Sedis_30,Incertae Sedis_102,Incertae sedis (Latescibacterota),Incertae Sedis_592,NA,Not significant,FALSE
ASV_492,19.335076617247427,-1.0658245201595067,2.833477196007352,-0.37615426080060155,0.7068022170875528,0.9544289799186907,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Not significant,FALSE
ASV_471,34.29989207877337,-1.0525662075655744,2.6611286375426926,-0.3955337568865226,0.692449013937074,0.9544289799186907,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Not significant,FALSE
ASV_555,27.279474444293974,0.9943136481680923,2.6233253425672527,0.37902795815445134,0.7046671025205413,0.9544289799186907,Bacteria,Pseudomonadota,Gammaproteobacteria_2,NA,Unclassified family,NA,NA,Not significant,FALSE
