	N-Amend-BR5-10-FT_S119_F_filt.fastq	N-Amend-C-T4_S125_F_filt.fastq	N-Amend-D-T4_S126_F_filt.fastq	N-Amend-T0_S124_F_filt.fastq	N-BR10-B_S107_F_filt.fastq	N-BR10-T_S108_F_filt.fastq	N-BR5-B_S99_F_filt.fastq	N-BR5-T_S100_F_filt.fastq	N-BR6-B_S101_F_filt.fastq	N-BR6-T_S102_F_filt.fastq	N-BR8-B_S103_F_filt.fastq	N-BR8-T_S104_F_filt.fastq	N-BR9-B_S105_F_filt.fastq	N-BR9-T_S106_F_filt.fastq	N-Control-A-T4_S122_F_filt.fastq	N-Control-B-T4_S123_F_filt.fastq	N-Control-T0_S121_F_filt.fastq	N-NEG_S128_F_filt.fastq
ASV_151	0	0	0	0	107	166	0	0	692	0	52	0	58	0	0	0	0	0
ASV_152	52	0	0	287	0	0	0	0	0	0	0	17	0	0	173	110	431	0
ASV_153	0	0	69	138	0	0	0	0	0	0	0	0	0	0	187	231	436	0
ASV_154	0	0	0	0	0	706	0	0	350	0	0	0	0	0	0	0	0	0
ASV_155	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0
ASV_156	161	0	0	0	67	477	0	0	109	118	38	17	24	33	0	0	0	0
ASV_157	0	0	0	0	79	313	72	166	80	130	78	38	85	0	0	0	0	0
ASV_158	172	0	0	228	0	0	0	0	0	0	0	0	0	0	178	158	293	0
ASV_159	590	0	0	0	67	104	0	0	0	45	73	0	98	46	0	0	0	0
ASV_160	82	0	0	0	59	104	71	51	112	376	35	88	45	0	0	0	0	0
ASV_161	0	0	0	0	203	0	59	0	0	90	149	78	441	0	0	0	0	0
ASV_162	0	0	0	0	0	200	0	280	166	372	0	0	0	0	0	0	0	0
ASV_163	123	0	35	220	0	0	0	0	0	0	0	0	0	0	125	228	269	0
ASV_164	0	0	0	0	161	177	84	130	101	162	65	0	117	0	0	0	0	0
ASV_165	59	0	0	486	0	0	0	0	0	0	0	0	0	0	0	103	343	0
ASV_166	52	0	0	0	134	186	82	0	0	86	103	180	124	41	0	0	0	0
ASV_167	0	0	0	0	228	76	101	0	0	93	128	134	227	0	0	0	0	0
ASV_168	92	0	0	0	62	30	23	255	12	51	39	172	82	168	0	0	0	0
ASV_169	0	97	86	249	0	0	0	0	0	0	0	0	0	0	176	274	103	0
ASV_170	0	0	0	0	90	0	167	210	82	179	91	166	0	0	0	0	0	0
ASV_171	0	0	0	0	63	0	70	133	56	202	133	120	207	0	0	0	0	0
ASV_172	0	0	0	0	0	0	0	224	517	0	243	0	0	0	0	0	0	0
ASV_173	0	0	0	0	156	17	53	101	0	181	112	211	138	8	0	0	0	0
ASV_174	0	0	0	0	68	423	0	0	321	0	0	0	94	71	0	0	0	0
ASV_175	43	3	0	179	0	0	0	0	0	0	0	0	0	0	156	191	400	0
ASV_176	150	18	25	221	0	0	0	0	0	0	0	0	0	0	158	240	159	0
ASV_177	0	0	0	0	0	210	22	388	33	102	14	201	0	0	0	0	0	0
ASV_178	0	0	0	0	0	54	0	201	318	341	0	52	0	0	0	0	0	0
ASV_179	217	56	0	54	0	0	0	0	0	0	0	0	0	0	212	112	300	0
ASV_180	0	0	0	0	212	0	115	0	0	0	285	0	325	0	0	0	0	0
ASV_181	66	0	0	0	0	388	0	0	379	101	0	0	0	0	0	0	0	0
ASV_182	0	0	0	0	0	0	101	832	0	0	0	0	0	0	0	0	0	0
ASV_183	271	0	0	0	130	0	9	97	11	140	74	87	108	0	0	0	0	0
ASV_184	0	0	0	0	74	0	366	59	0	76	159	0	185	0	0	0	0	0
ASV_185	98	0	0	264	0	0	0	0	0	0	0	0	0	0	59	124	366	0
ASV_186	0	0	0	0	186	0	0	325	84	0	81	83	147	0	0	0	0	0
ASV_187	0	0	0	0	0	313	31	421	0	0	0	98	0	41	0	0	0	0
ASV_188	0	0	0	231	0	0	0	0	0	0	2	0	0	0	154	107	409	0
ASV_189	0	0	0	0	0	899	0	0	0	0	0	0	0	0	0	0	0	0
