	N-Amend-BR5-10-FT_S119_F_filt.fastq	N-Amend-C-T4_S125_F_filt.fastq	N-Amend-D-T4_S126_F_filt.fastq	N-Amend-T0_S124_F_filt.fastq	N-BR10-B_S107_F_filt.fastq	N-BR10-T_S108_F_filt.fastq	N-BR5-B_S99_F_filt.fastq	N-BR5-T_S100_F_filt.fastq	N-BR6-B_S101_F_filt.fastq	N-BR6-T_S102_F_filt.fastq	N-BR8-B_S103_F_filt.fastq	N-BR8-T_S104_F_filt.fastq	N-BR9-B_S105_F_filt.fastq	N-BR9-T_S106_F_filt.fastq	N-Control-A-T4_S122_F_filt.fastq	N-Control-B-T4_S123_F_filt.fastq	N-Control-T0_S121_F_filt.fastq	N-NEG_S128_F_filt.fastq
ASV_3314	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3315	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3316	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3317	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3318	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3319	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3320	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3321	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3322	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3323	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3324	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3325	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3326	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3327	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3328	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3329	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ASV_3330	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ASV_3331	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ASV_3332	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ASV_3333	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ASV_3334	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3335	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3336	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3337	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3338	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3339	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3340	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3341	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3342	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3343	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3344	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3345	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3346	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3347	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3348	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3349	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3350	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_3351	0	0	0	0	0	0	0	10	0	0	0	7	0	0	0	0	0	0
ASV_3352	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
ASV_3353	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
ASV_3354	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
ASV_3355	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
ASV_3356	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
ASV_3357	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
ASV_3358	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
ASV_3359	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
ASV_3360	0	0	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0
ASV_3361	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
ASV_3362	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV_3363	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV_3364	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV_3365	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV_3366	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV_3367	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV_3368	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
ASV_3369	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
ASV_3370	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV_3371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
ASV_3372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV_3373	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3374	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3375	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3376	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3377	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3378	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3379	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3380	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3381	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3382	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3383	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3384	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3385	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3386	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3387	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3388	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3389	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3390	0	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0
ASV_3391	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3392	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3393	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ASV_3394	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ASV_3395	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ASV_3396	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ASV_3397	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ASV_3398	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ASV_3399	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3400	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3401	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3402	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3403	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3404	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3405	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3406	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3407	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3408	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3409	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_3410	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV_3411	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV_3412	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV_3413	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV_3414	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV_3415	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV_3416	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0
ASV_3417	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_3418	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_3419	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_3420	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_3421	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV_3422	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV_3423	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV_3424	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV_3425	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV_3426	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV_3427	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV_3428	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
ASV_3429	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
ASV_3430	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3431	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3432	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3433	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3434	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3435	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3436	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3437	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3438	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3439	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3440	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3441	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3442	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3443	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3444	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3445	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3446	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3447	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3448	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3449	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3450	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3451	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3452	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3453	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3454	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3455	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3456	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3457	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3458	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3459	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3460	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ASV_3461	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ASV_3462	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ASV_3463	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ASV_3464	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ASV_3465	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ASV_3466	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ASV_3467	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ASV_3468	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ASV_3469	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
ASV_3470	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
ASV_3471	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
ASV_3472	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
ASV_3473	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV_3474	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV_3475	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV_3476	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV_3477	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV_3478	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV_3479	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV_3480	0	0	0	0	0	0	0	0	0	10	0	0	5	0	0	0	0	0
ASV_3481	0	0	0	0	0	0	0	0	0	7	0	0	8	0	0	0	0	0
ASV_3482	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_3483	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_3484	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV_3485	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV_3486	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV_3487	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV_3488	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV_3489	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV_3490	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV_3491	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV_3492	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV_3493	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV_3494	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV_3495	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV_3496	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
ASV_3497	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
ASV_3498	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
ASV_3499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
ASV_3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
ASV_3501	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3502	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3503	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3504	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3505	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3506	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3507	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3508	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3509	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3510	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3511	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3512	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3513	0	0	0	0	5	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV_3514	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3515	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3516	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3517	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV_3518	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV_3519	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV_3520	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV_3521	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV_3522	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV_3523	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3524	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3525	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3526	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3527	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3528	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3529	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3530	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3531	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3532	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3533	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3534	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3535	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV_3536	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
ASV_3537	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
ASV_3538	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
ASV_3539	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
ASV_3540	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV_3541	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV_3542	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV_3543	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV_3544	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV_3545	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV_3546	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_3547	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_3548	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_3549	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_3550	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
ASV_3551	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
ASV_3552	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
ASV_3553	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
ASV_3554	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
ASV_3555	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV_3556	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV_3557	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV_3558	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV_3559	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV_3560	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV_3561	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV_3562	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV_3563	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
ASV_3564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
ASV_3565	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3566	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3567	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3568	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3569	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3570	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3571	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3572	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3573	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3574	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3575	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3576	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3577	0	0	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	0
ASV_3578	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3579	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3580	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ASV_3581	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ASV_3582	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ASV_3583	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_3584	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_3585	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_3586	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_3587	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_3588	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_3589	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_3590	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_3591	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_3592	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
ASV_3593	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
ASV_3594	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
ASV_3595	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0	0	0	0
ASV_3596	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV_3597	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV_3598	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV_3599	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV_3600	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ASV_3601	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_3602	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_3603	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_3604	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_3605	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_3606	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_3607	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_3608	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_3609	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_3610	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3611	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3612	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3613	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3614	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3615	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3616	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3617	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3618	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV_3619	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
ASV_3620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
ASV_3621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
ASV_3622	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3623	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3624	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3625	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3626	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3627	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3628	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3629	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
